,id,tipo_ativo,ativo,data,quantidade,price,volume
75,780,DEB,CLBH11,2023-01-31,75000.0,1000.0,75000000.0
76,781,DEB,CLCD13,2023-01-31,250000.0,1000.0,250000000.0
77,782,DEB,CLGP11,2023-01-31,14000.0,1000.0,14000000.0
78,783,DEB,CLGP12,2023-01-31,4500.0,1000.0,4500000.0
79,784,DEB,CLOR11,2023-01-31,565000.0,1000.0,565000000.0
80,785,DEB,CMIN11,2023-01-31,576448.0,1000.0,576448000.0
81,786,DEB,CMIN12,2023-01-31,745000.0,1000.0,745000000.0
82,787,DEB,CMIN21,2023-01-31,423552.0,1000.0,423552000.0
83,788,DEB,CMIN22,2023-01-31,655000.0,1000.0,655000000.0
84,789,DEB,CMRV11,2023-01-31,500000.0,1000.0,500000000.0
85,790,DEB,CMRV12,2023-01-31,270000.0,1000.0,270000000.0
86,791,DEB,CNCC11,2023-01-31,75000.0,1000.0,75000000.0
87,792,DEB,CNVI11,2023-01-31,61138.0,1000.0,61138000.0
88,793,DEB,CNVI21,2023-01-31,5862.0,1000.0,5862000.0
89,794,DEB,COCE18,2023-01-31,600000.0,1000.0,600000000.0
90,795,DEB,COCE19,2023-01-31,950000.0,1000.0,950000000.0
91,796,DEB,COGN16,2023-01-31,500000.0,1000.0,500000000.0
92,797,DEB,CONF11,2023-01-31,215000.0,1000.0,215000000.0
93,798,DEB,CPOG11,2023-01-31,550000.0,1000.0,550000000.0
94,799,DEB,CPPA11,2023-01-31,10500.0,10000.0,105000000.0
95,800,DEB,CPTE12,2023-01-31,250000.0,1000.0,250000000.0
96,801,DEB,CPTM15,2023-01-31,1000000.0,1000.0,1000000000.0
97,802,DEB,CRCG12,2023-01-31,1000000.0,1000.0,1000000000.0
98,803,DEB,CRCG22,2023-01-31,200000.0,1000.0,200000000.0
99,804,DEB,CSMGA5,2023-01-31,500000.0,1000.0,500000000.0
100,805,DEB,CSNAA1,2023-01-31,1500000.0,1000.0,1500000000.0
101,806,DEB,CSNS12,2023-01-31,675000.0,1000.0,675000000.0
102,807,DEB,CTEEA0,2023-01-31,672500.0,1000.0,672500000.0
103,808,DEB,CTEE1B,2023-01-31,668833.0,1000.0,668833000.0
104,809,DEB,CTEE19,2023-01-31,800000.0,1000.0,800000000.0
105,810,DEB,CTEE2B,2023-01-31,281167.0,1000.0,281167000.0
106,811,DEB,CTEE29,2023-01-31,800000.0,1000.0,800000000.0
107,812,DEB,CYREA4,2023-01-31,750000.0,1000.0,750000000.0
108,813,DEB,DETR11,2023-01-31,80000.0,1000.0,80000000.0
109,814,DEB,DIAN14,2023-01-31,40000.0,1000.0,40000000.0
110,815,DEB,DIAN24,2023-01-31,35000.0,1000.0,35000000.0
111,816,DEB,DTEX12,2023-01-31,120000.0,10000.0,1200000000.0
112,817,DEB,EESG12,2023-01-31,1000000.0,1000.0,1000000000.0
113,818,DEB,EGVG11,2023-01-31,519000.0,1000.0,519000000.0
114,819,DEB,EGVG21,2023-01-31,281000.0,1000.0,281000000.0
115,820,DEB,ELKZ12,2023-01-31,110000.0,1000.0,110000000.0
116,821,DEB,ELMD13,2023-01-31,660000.0,1000.0,660000000.0
117,822,DEB,ELPLA6,2023-01-31,575000.0,1000.0,575000000.0
118,823,DEB,ELPLA7,2023-01-31,800000.0,1000.0,800000000.0
119,824,DEB,ELRV11,2023-01-31,805000.0,1000.0,805000000.0
120,825,DEB,ELTE11,2023-01-31,500000.0,1000.0,500000000.0
121,826,DEB,ELZM12,2023-01-31,100000.0,1000.0,100000000.0
